Date,SN,Open,High,Low,Close,Adj Close,Volume,live,KI,KO,accumulation,BQty,BAt,BWhen,SQty,SAt,SWhen,BCF,SCF,CumQty,CumCF
2022-05-31,0,130.179993,133.149994,129.710007,132.229996,127.951584,17015000,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
2022-06-01,1,132.869995,132.869995,128.669998,129.910004,125.706657,10768000,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-02,2,129.899994,132.009995,128.669998,132.0,127.729042,8374800,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-03,3,131.210007,131.770004,129.990005,130.160004,125.948578,8596000,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-06,4,131.089996,132.389999,129.460007,129.729996,125.532494,11323500,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-07,5,128.830002,130.320007,128.619995,130.070007,125.861504,6722200,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-08,6,129.0,129.449997,126.900002,128.0,123.858467,8422100,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-09,7,127.370003,128.100006,125.269997,125.309998,121.255493,13560100,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-10,8,122.589996,123.400002,119.32,119.550003,115.68187,12945200,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-13,9,116.860001,117.949997,115.059998,115.989998,112.237045,16805600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-14,10,115.550003,117.32,113.220001,114.059998,110.369507,13357900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-15,11,115.620003,116.949997,113.169998,115.410004,111.675827,14083500,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-16,12,113.860001,114.260002,111.870003,113.43,109.759888,16724900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-17,13,113.540001,114.629997,112.160004,113.029999,109.372826,30919900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-21,14,115.870003,117.029999,115.040001,115.830002,112.08223,11680500,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-22,15,114.879997,116.199997,114.389999,115.18,111.453262,9842700,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-23,16,115.010002,115.18,111.480003,113.919998,110.234024,11851500,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-24,17,113.230003,117.82,112.830002,117.32,113.524025,14841100,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-27,18,118.059998,118.5,115.639999,116.379997,112.614433,11280500,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-28,19,117.669998,119.290001,115.599998,115.82,112.072556,11590900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-29,20,116.0,116.82,114.730003,115.300003,111.569374,9338400,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-06-30,21,113.169998,114.080002,110.93,112.610001,108.966423,15172600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-07-01,22,112.650002,114.419998,111.160004,114.050003,110.359825,10573600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-07-05,23,110.769997,112.709999,109.300003,112.620003,109.940056,12514200,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
